"id","text","source","label"
29,"Ringing in my 24th with my people❤️ #birthday #celebrate #drinks #favorites @ Jalapeno's Metro Bar &amp;… https://t.co/JC3ASHvSCF","twitter",1
30,"GoPro Hero 6 Black shoots 4K video at 60 fps and is on sale today: https://t.co/SviaARi6aZ","twitter",0
31,"my mom spoils the hell out of me still at 19 yrs old lmao she brought me food to work bc i wasn’t feeling good😢💕 mom of the year right there!","twitter",1
32,"Is it sad that at 18 I look forward to getting into bed early more than a night out","twitter",1
33,"I lost my virginity at 19 – Kush Tracy tells fans https://t.co/CkDY9UKGBo","twitter",0
34,"Reekado Banks lists his achievements at 22, view at https://t.co/5ThTIvlEAv","twitter",0
35,"From people over the age of 60.  Rant over","twitter",0
36,"Okay fans, @SinBinSPHL has set the over/under at 57 total PIM tonight. What do you think? #FAYvsKNX @FireAntzHockey","twitter",0
37,"I WANNA WISH MY BABY GIRL ....WAIT WAIT WAIT MY BIG GIRL A HAPPY 11th BIRTHDAY ......YOU ARE AN… https://t.co/SWgjx2JflF","twitter",0
38,"In no rush to turn 20 tbh, in fact I think I'm going to skip my 20's &amp; 30's....40's it is 😏 https://t.co/qmdVj6qGpc","twitter",1
39,"@AbbyJohnson @rosheenamend @Twitter @UnplannedMovie @jack ""Hey. I am 21 yo, I want to have sex with a rude man. I am ready in all holes and will be anobedient girl.💋💑Waiting for you??Register and Write ✍✍https://t.co/haFFgNb29g🍆🍑💦Note: Verify Email to send msg to girls""📲","twitter",0
40,"What age did y'all think your body started breaking down? How did you react the first time you pulled your back at 26 years of age?","twitter",0
41,"My dad turned 55 today and he legit looks a very good 40. Come through genetics 🙌🏽","twitter",0
42,"This is a 71 y.o. man, and the PRESIDENT OF THE US. Yes, he is calling other adults name and acting like a poorly behaved child. #BasicPOTUS https://t.co/OdCafE119q","twitter",0
43,"16th birthday todayy!","twitter",1
44,"@FBlankenshipWSB Happy new year!!!!  May you continue to be blessed and I was going to tell you on December 24 shout me out for my birthday but I party so hard and didn't realize turning 46 you have to workout before partying. Was to sore to text.","twitter",1
45,"Like I turn 20 in July but I'm only gonna be 20 idk if that's weird or wut 😅","twitter",1
46,"Who knew I would spend my Saturday mornings at 21 still watching Disney channel.","twitter",1
47,"I'm 19 years old and I spend my weekends as if I was 32","twitter",1
48,"John Glenn, former astronaut and U.S. Senator, has died at the age of 95.  He was the first American to orbit the earth. I remember...","twitter",0
49,"My girl, Fancy, just turned 17. She’s getting up there, but she still has the energy of a puppy https://t.co/MYZ7H6PwWk","twitter",0
50,"15 days til my 21st.. 20 days til I go on vacation.. &amp; I still look like a damn potato..","twitter",1
51,"@JasonWitten HAPPY BIRTHDAY!!!! #82 FOREVER!!! 💙💙💙💙💙💙🎉🎊🎂🍾","twitter",0
52,"My 25th bday gift to myself will be titties. Maybe a new nose too.","twitter",1
53,"Karla, from Flushing visits the office of @RepGraceMeng and stresses for a change in the age of entry requirement from 16 years old to 18 years old — “At 16 we are considered a minor and should still be protected” #DreamActNow #DreamAct https://t.co/N6eGhyzGGO","twitter",0
54,"@rgbassin Kootenai.His name is Kostata age 68. He's the son of Chief Eneas, grandson of Chief Bapsiste, who signed the treaty of Hell Gate, 1855, btwn U.S. and the Allied Tribes of the Flashead Reservation.","twitter",0
55,"If you need a suggestion for what to buy me as a 50th b-day present (4/22/19...save up), buy me this Les Paul...and guitar lessons...and @peterframpton tickets...","twitter",1
56,"Wishing our #CaptainCool @msdhoni a very happy 35th birthday! Have fun, skipper! #HappyBirthdayCaptainCool https://t.co/5wJhi9eapw","twitter",0
57,"She just turned 18 today. Chat with her.   https://t.co/Fvvl6kAHvl #hugetits #legs #pornvideos #bigboob https://t.co/ckyIIEDPoE","twitter",0
58,"I'm proud this facial hair trying to grow in before my 25th. I'll finally be a snack","twitter",1
59,"@tonyhawk @DonovanStrain @berrics @rileyhawk666 Its so fun to watch...51 years old man still learning tricks and dont give up. 😅😅","twitter",0
60,"This man is aging backwards who will say that he turned 53 todayBeing Human Day#HappyBirthdaySalmanKhan https://t.co/cBMjbI9e9L","twitter",0
61,"Double the birthday. Double the BFF. Double the memories. Double the love. Happy birthday!!!! #20 #ILoveYou 👸🏾👸🏼💞 https://t.co/BZ7W6aj03F","twitter",0
62,"CCI Spring Fling!! Dance the night away with access to our gorgeous courtyard filled with lights. Tickets will go on sale for $10 next week. https://t.co/tSSqGgqhxD","twitter",0
63,"Sooooo.. what do people do on their 19th birthday anyway?","twitter",1
64,"Why is my bias acting like this? He turned 30 &amp; he thinks he's having a mid life crisis?  I love him but Damn, calm down son. #JayPark","twitter",0
65,"I may be 30 years old &amp; have tattoos, but I will still absolutely cry when I get my blood taken because of my intense fear of needles.","twitter",1
66,"My 21st birthday is in 26 days ! 🎉🎉💘","twitter",1
67,"Declares himself to be a 'stable genius' even though his IQ was measured at 73#SignsSomeoneIsPsycho","twitter",0
68,"I had a nightmare last night that I got married at 19","twitter",0
69,"I turn 21 tomorrow??? Weird👀🤗","twitter",1
70,"@asscheeksonme Right 😭 as soon as we turned 21 they wanna get rid of the shit","twitter",1
71,"Birthday #24 #litty","twitter",1
72,"i turned 21 &amp; look at the liquor menu before the food menu everywhere i go.","twitter",1
73,"@stinacute that was my plan. My 21st is next week and I'm pregnant 🙃 #PracticeSafeSex lmao","twitter",1
74,"15 years ago today:2003 ~ The Atlanta #Falcons upset the Green Bay Packers in a NFC Wild Card game. It was the first time the Packers lost a playoff game at home. Vick was only 22 years old! https://t.co/xJEvxNWvx9","twitter",0
75,"@teensy_teacup @moodring89 My 10th picture and I will die from him alone https://t.co/VM1w9CKkut","twitter",0
76,"Family means something so different at 21, different to what I always remember growing up anyway.","twitter",1
77,"@cheribaker Yes!! I work in a flower shop. Tulip season is my favorite season! I’ve never in my 12 years there have seen tulips that nice!","twitter",0
78,"@IIPaulEdwinII Text this cutie, shes 23 years old her # is 512-270-3884 shes funny lol","twitter",0
79,"It's been 15 years since I, as a vulnerable 16 year old girl, was preyed upon and abused by a gang of older men who have never faced justice. I dare @BorisJohnson to look me in the eye and say rectifying that would be ""spaffing money up the wall"" #BorisJohnson #VileTories","twitter",1
80,"30th birthday approaching, weighing up the competition between my favourite Indian in Petts Wood and @TGIFridaysUK hmm decisions decisions","twitter",1
81,"Happy 21st Birthday to me 😘🎊🎉","twitter",1
82,"You Grown Af 25 Years Old ! Tripping Over Some Petty Teenage Bullshit ! I'm Just Not Fit For Relationships 😒","twitter",0
83,"The anger I will display on this website if the Red Sox, with their $800 bajillion valuation, allow a homegrown mega-superstar to walk at age 28 (or trade him at 27), will be the likes of which few have ever seen.","twitter",0
84,"We stan a birthday playlist 👑 (and yes I’m turning 22 today but no way in hell will you catch me listening to TS) https://t.co/5q7s9uWbKz","twitter",1
85,"I been thinking about my 21st for so long","twitter",1
86,"I’m trying go to Panama for my 20th 😬","twitter",1
87,"Mfs gonna think I’m turning 21 this year 💀","twitter",0
88,"@markiplier_mSb You're 20 years old?","twitter",0
89,"@PrairiePhlox @angiecthomas Easily one of my top picks for a must read for anyone 12YO and up. While content is strong and emotional, it’s a raw and necessary look into police brutality against PoC and the aftermath survivors must deal with.","twitter",0
90,"Im turning 21 in 2 days &amp; im tryna keep myself busy but wow im excitedddd","twitter",1
91,"Beauty ends at 25 years of age. After that we look at the character and what you bring to the table.","twitter",0
92,"ITS MY 21st BIRTHDAY‼️‼️‼️‼️","twitter",1
93,"@JoeLedleysBeard Good move for Ash at 31. Allen to Stoke, however, is a scandal.","twitter",0
94,"A group of old friends discussed where they should meet for lunch for their reunion. : They were all aged about 40.Finally it was agreed that they would meet at the Ocean View restaurant, because the waitresses there were pretty.Ten years later, at age 50, the friends once a…","twitter",0
95,"@noellehancock Enjoyed your story about moving to St. John. Hit home — am 31 yrs old, single, journalist with wanderlust","twitter",1
96,"@pIayerscIub Boy Eminem is fucking 80 years old let’s talk about that","twitter",0
97,"Okay so Stan isn't going to Disney with me instead me and Jessica are going next month for my 20th!!!!:D","twitter",1
98,"At that age where I can date you or your father but I ain’t trying to be no step-grandma at 33 😒","twitter",1
99,"Celebrating my 21st birthday at @ArizonaPetes this Friday and EVERYONE is invited. 😝🍺","twitter",1
100,"The average person who becomes less active and consequently loses #muscle experiences a 20 to 25 percent reduction in 24-hour #metabolism by age 65. This adds up to a daily metabolic drop of more than 500 #calories.","twitter",0
101,"Too much #HeroesCon blowing up my twitter feed... sooooo jealous... cant handle it all... so unfair. God dammit @Reading_Hix why cant you turn 50 every year... #youhavefailedthiscon","twitter",0
102,"I'm torn. On 1 hand, she's probably a 35y/o guy named Yuri. On the other, it's hard to find someone who lives close. https://t.co/9tSitVlsPD","twitter",0
103,"Battlefield 1 looks so good. I just hope my 970 can run it at 60 fps on ultra.","twitter",0
104,"My birthday is tomorrow which is crazy I’ll be 21","twitter",1
105,"@RylanClark Happy 24th Birthday Rylan!! &lt;3","twitter",0
106,"my 17th birthday needs to hurry up so my mom has no excuse to keep me home all the time","twitter",1
107,"The perils of turning 26: when US millennials lose their parents' healthcare cover https://t.co/nnOtLj5BaI","twitter",0
108,"2 days until I get my braces off &amp; 9 until I turn 18. I am so excited 😭🙌","twitter",1
109,"Immys friend's mum was shocked when I told her I stated ttc at 26. I'm now 35.","twitter",1
110,"i want to look as good as cher at 71","twitter",0
111,"happy 21st birthday lil’ sis. drink lots of water. @haileesteinfeld https://t.co/xPhqvloraD","twitter",0
112,"private aligned r by 119 I dont feel that you dont look like I feel that.76 at 67.","twitter",0
113,"I'm so shook knowing that my grandma got married at 16. I'm 16 and I can't even keep my room clean, let alone find someone to tolerate me.","twitter",1
114,"me when I have my 21st birthday and I make a toast https://t.co/BTrgvRvX46","twitter",1
115,"Next friday... I will be doing a Ustream with my brother, @FrankieJGrande as we countdown to my 17th birthday.. Please join us!! :) WOOO","twitter",1
116,"I got a feeling imma get thick as hell  when I turn 23","twitter",1
117,"Thank you for being my partner, my best friend, my foodtrip buddy, movie buddy, the father of my son, my life, my lakay. Happy 25th birthday love! Alison Caluza Flores Jr. 🎂🎈🎉","twitter",0
118,"@jorymicah If you are my 13yo emo daughter, they are definitely back.","twitter",0
119,"I've been in a hurry all my life, I only decided to slow down after I turned 28. Lol","twitter",0
120,"#LIKE &amp; #RETWEET = SEASON 2 ACCOUNT GIVEAWAY  🖤Must Follow @FortniteDGs  &amp; @qtBazzyEnds at 55 retweets 🌙","twitter",0
121,"Beyoncé will turn 35 on September 4, 2016 and thus is eligible to be our next president","twitter",0
122,"I’m almost 30 years old. I don’t have the time nor the energy to entertain your bad life choices. I barely have time to entertain my own okay so bye.","twitter",1
123,"My 21st is coming..","twitter",1
124,"When I was like 13 years old in Puerto Rico in 6th grade  http://t.co/sNuZtozB","twitter",0
125,"@tatumbetter @saintsteven78 @PatsDynasty_1 @jeter_hood @AngryCeltics @QueenLambright7 @AdamHimmelsbach @Draymond__Green He averaged 17ppg in that series at 22. Jaylen averaged 19ppg in the 2018 ECONF Finals at 21! Gave the Bucks 36 on the road.Also...Kawhi had 3 HOfers, Jaylen had ZERO!Jaylen will average 18+ next year. He's not Kawhi, but don't overhype Kawhi when he was coming up.","twitter",0
126,"i still can't believe lorde was 16 years old when she wrote ribs...she is SO wise beyond her years. https://t.co/8FIhpklBOF","twitter",0
127,"@Ruthlessisback Nah ur not then since everything is electric. U could defo cut it down to maybe £15 a week. But member its winter so its generally gonna be higher","twitter",0
128,"I also have no idea how Gorton isn’t pulling his hair out watching his coach butcher an 18 yo with a blazing bright future but ...","twitter",0
129,"HAPPY BIRTHDAY TO OUR IRISH SNOWFLAKE!! @NiallOfficial How are you 22?! You better be playing T Swift all day! #22 #HappyBirthdayNiall","twitter",0
130,"@kerstinebx Whenever I turn 21 lets do it together just because we can lmao😂","twitter",0
131,"Imagine your Papa carrying on like this at 60, I would just faint 😩😆 https://t.co/9P1pDkk9hU","twitter",0
132,"@laynashiree14 Austin for sure. You can always go to 7th any time, but Austin was a lot of fun for my 21st!!","twitter",0
133,"We're lost for words right now. Louis Tomlinson's mum, Johannah has died at the age of 42 https://t.co/jMEIMhqksX","twitter",0
134,"The Sondheim 80th Birthday Concert will henceforth be referred to as The Sondheim 80th Birthday Women’s Summit.","twitter",0
135,"@jaassrdgaf It’s always like that before someone turn 21. I was like that then next thing you know after I turn 21 I’m drinking before work going to work drunk, after school straight to the store to buy a bottle. Lol","twitter",0
136,"I do believe my 13yo daughter had this same sentiment. Yet @realDonaldTrump is truly THAT stupid. https://t.co/6jpmrIX7KP","twitter",0
137,"Finally 16!!! 🎊🎁🎉❤️ https://t.co/K8I9vonMWq","twitter",1
138,"15yo, getting ready to go out: how cold is it?me: 7º last I checkedhim, deadpan: so sweatshirt weatherme: *laughs uproariously*me: *pauses for uncertainty because he could be totally serious*me: no, you need a hat and gloves AND A COAThim: *rolls eyes because moms are dumb*","twitter",1
139,"i used to read 3-4 full sized novels in middle school. now i see anything longer than a paragraph and bounce. i’ll miss u brain cells, can’t believe u peaked at age 12","twitter",0
140,"At age 30, this man lost a wife, Neilia, and a one-year-old daughter, Naomi, in a car crash. He… https://t.co/n7Jt46HQ2q","twitter",0
141,"this old lady is legit whole ass 26yrs old and claims to hate Louis but she can’t keep his name out of her mouth, she talks about him on daily basis like literally DAILY. FUCKING. BASIS, like omg she’s so so so immature for her age, blink if u need help grandma 😰😰 https://t.co/yDxVc6Ltc8","twitter",0
142,"@RhyleighGrace Oh gosh my dad is older than yours 😂😂 he is 65 this year and mum just turned 50 😂😂","twitter",0
143,"When all you wanna do it have fun. It you have to babysit your 21 y/o boyfriend","twitter",0
144,"Instagram rap tribute to dead 13yo boy lands UK teen in court for ‘hate crime’ https://t.co/svvBJhcvit   #news #breakingnews","twitter",0
145,"#Nanaimo #Fire @NanaimoBulletin Multiple firefighters battling fully involved house fire at 38 Squirrel Lane Nanaimo. https://t.co/DA11zsbHbQ","twitter",0
146,"@Alco_Guerrero 18th birthday concert for Vivoree pls.","twitter",0
147,"New arrival family set MEN SIZE:S-XL. GIRL SIZE:S-XXL. DRESS SIZE:S-XXL. KIDS SIZE:6,8,10,12,14 for 1-12 years old","twitter",0
148,"Check out this brilliant slomo shot of @AleixEspargaro's 2nd fall of the day in Turn 11. #2016StartsNow #MotoGP  https://t.co/l758FBKwMj","twitter",0
149,"Suicide is the biggest killer of men under age 45. In some countries, men are 3 times more likely to commit suicide than women are. You can help reduce this statistic by not mocking your male friends when they open up, not making them feel less of a man. #WorldSuicideDay","twitter",0
150,"How does being a Wife kill ambition? My Wife became a Wife at 25 and she's as ambitious as ever. https://t.co/HqqnS1jnU3","twitter",0
151,"Cant nobody talk down on me I've had my shit together since i was 16 years old 💯🆗👏","twitter",0
152,"I TURN 19 IN APRIL AND I STILL GET ASKED FOR ID ON 15 MOVIES FML https://t.co/FKlei9kI7m","twitter",1
153,"@DearAuntCrabby YOU’re awesome! Keep up energy against trump, the asswipe! I’m an [almost] 65 yo gal from Michigan.We watch MSNBC ALL day!","twitter",1
154,"Birmingham for my 18th, Wireless Festival, Bulgaria with the girls 🙌🏼 so excited for the rest of the year","twitter",1
155,"It sucks to wake up one morning at 60 years old and realize that America is now the bad actor...Trump lawyers like Sarah Fabian who split hairs to justify putting kids in cages with no toothbrushes, toothpaste, soap or warm blankets?  USA=U Sold America, you fucking monsters.","twitter",1
156,"Blessed to have celebrated my 25th birthday with my sweet baby girl, my… https://t.co/qwfnaflSKP","twitter",1
157,"if more people worked, I could probably retire at 60! I've worked since I was 14! Contracted! Wtf! #getajob #tramps","twitter",0
158,"Finally 10/10/10#FateGrandOrder #fgo #artoria_pendragon #alter #artoriapendragonalter https://t.co/qj6FfnbXXZ","twitter",0
159,"My squad through a surprise late Birthday party for julian &amp; I. ☺️☺️🎂🎈🎉 #21 #22","twitter",0
160,"Besides spending my birthday at the doctors, my birthday was wonderful. Feeling blessed. AND 48 feels so good! #JanuaryBirthdaysRock","twitter",1
161,"4 months until my 21st birthday 😁😁 get organising @jackphillips89 😘 🎁🎉🎊🎈","twitter",1
162,"@MPMichaelPhelps My daughter veronica camejo Venezuelan loves the swimming champion in 50 mts butterfly at 13 years and wants opportunity to continue, the country suffers a severe crisis","twitter",0
163,"I’m a better shot at 20 yards than I am at 10 yards... I’m not mad, but... what? 🤷🏼‍♀️🏹🤨","twitter",0
164,".@Colbyjames09 @taylorcaniff Between 13 and 16 years old https://t.co/drDdW1N1Lt","twitter",0
165,"@abstractLucas @edenproject I've never been, going on 17th December for my 40th so hoping it's going to be festive 🎄","twitter",1
166,"I think I grilled them perfectly...do you agree @GordonRamsay ? It would solidify 12 y/o old @_ab1527_ claim that I DO know how to cook?😃 https://t.co/IjaMylvosl","twitter",0
167,"I'm going to shave my head on my 30th birthday.","twitter",1
168,"@davebmitchell @Mark_Sheppard Happy Birthday!  Today is my sons 32nd birthday!","twitter",0
169,"I accidentally did my hair in a grown up looking style and I was laughing about it but then realized I'll be 25 next week what","twitter",1
170,"🇺🇸 Dow futures 📈 up 0.1% at 21,623 https://t.co/i0i4UfnSP1 MARKETWATCH","twitter",0
171,"so Ailee will turn 30 next year 2018 😅 oh my gosh eomma is getting older 💕","twitter",0
172,"Mooood after my 80th text with no reply still https://t.co/76NTRwX2IG","twitter",0
173,"@jon_stride @Goonerreed Well, I went part time at 60, March 2015; retiring completely next November (before the budget...)","twitter",0
174,"Pregnancy gains, today I turned 23 💅🏽 https://t.co/YNYVkbiq6W","twitter",0
175,"happy birthday again to my best bitch since 9th grade! finally 18! have a hoetastic day shawtyyy🤙🎈💕 https://t.co/Oora68x2kA","twitter",0
176,"Signed Heskey at Cardiff on FM14 for 150k in Jan. 36 years old... 8 goals in 10... SIGNING OF THE SEASON #FM14","twitter",0
177,"when I was 12 my dream car was an Escalade and I have the opportunity to buy a 2002 Escalade and my 12 year old self would be soo proud.. but for the same price, my other option is a newish Yukon and I'm just so conflicted 🤔🤔🤔","twitter",0
178,"I learned this the hard way at 18 https://t.co/k0gzSCfjVe","twitter",0
179,"has seen Basingstoke Town claim a big 6-0 win against West Brom.","twitter",0
180,"2 MORE HOURS 😋 my 25th birthday 🤗😘","twitter",1
181,"I'm so glad that I ws apart of history at 18 to Vote for Obama,18 yr olds now hve to hve a option w/Trump smh mke history.. #HillaryClinton","twitter",1
182,"@vinodkapri My sister was found in a similar way, left in the streets to die in Odisha. Today she turned 15. ❤️ What you are doing is amazing. https://t.co/bwqRI8YEtZ","twitter",0
183,"Hard to think today would be Bowes 10th birthday. Love and miss you so much with all my heart Bub❤️ https://t.co/IjNSkrw3im","twitter",0
184,"I’m honestly not mad about the pick either, the pick that we stole in 2017 in the first round lead us to get Kuzma at 27 lmaooooo","twitter",0
185,"The discussion about kicking your kids out at 18 is a deep subject and they brought up good points. I think you have to prepare your kids for life as much as you can, while you can.","twitter",0
186,"I thought you was turning 37 https://t.co/TXksmYxa6D","twitter",0
187,"I hope having a baby face at 20 means I'll age like Pharrell.","twitter",1
188,"me at 15 years-old: don't tell me what to dome at 20 years-old: please tell me what to do","twitter",0
189,"[BREAKING] Professor Stephen Hawking has died at the age of 76.","twitter",0
190,"What In the hell am I gonna do for my 23rd ( I'm turning into a big woman 󾍁)","twitter",1
191,"Y’all mind if I order a grilled cheese for lunch like I’m 10 years old then stream Fortnite and World of Warcraft until my fingers fall off?Any objections?","twitter",0
192,"Mariah Carey's legendary album The Emancipation of Mimi turns 11 years old today https://t.co/8aXl6A8jB9","twitter",0
193,"@kailaaarae Dude I turn 21 during our trip to Vegas next month and I’m almost 6 months pregnant! How terrible is that!! But when I do give birth it’s your bday like a month after so we going out Nd partying to celebrate both our birthdays!!!!","twitter",1
194,"Chef Leah Chase, civil rights activist and legendary 'Queen of Creole Cuisine,' dies at age 96https://t.co/XNXOYlnl6C‼️Saddened2learn death of grand chef &amp; beautiful human spirit Leah Chase;she fed us body&amp;soul&amp;made her table/community:courageous,creative,wise NOLA’s best‼️","twitter",0
195,"I lost the braces but i still look 12 years old lmaO(if youve already been tagged my apologies!!) https://t.co/3lGzQNJzN1","twitter",0
196,"@TherealTaraji A bday/tribute video I edited of you awhile back that was for your 45th bday. Hope you like it :) https://t.co/1gmCmq9LZw …","twitter",0
197,"My son is begging for my Starbucks 😒😒 sorry but you are the reason i get it, you are not having coffee at 18 mo. Drink your milk child.","twitter",0
198,"the first and only kpop idol to win the ""Songwriter"" award was Hanbin. He was 22 years old 💗 #SongwriterHanbin https://t.co/mDybuNK66r","twitter",0
199,"Seeing what's out there 🌼 Hi, I'm a 26 year old single mom and like the title says I'm looking to see what's out t… http://t.co/6fo3spvSKw","twitter",1
200,"Mister wanted Netti... bruh, she was even younger than 14yo Celie 🤔 sickos man","twitter",0
201,"I’ll be saying that when it’s your 50th birthday lol. You’re always gonna be my dad lmao. Hope it’s a good one! https://t.co/R7fo3VjD6h","twitter",0
202,"I have forced scammers to stand in queues for Rs 4000- Modi yesterday 94 years old Heeraben Modi 'stood' in bank queue today!Aah irony!","twitter",0
203,"If Orwell didn't exist, every white male broadsheet journalist over the age of 40 would need to invent him.","twitter",0
204,"@Krylluminati Make sure they KNOW It’s your 21st bday that day!!!!! Maybe they’ll go easy on ya 😂","twitter",0
205,"HARRY SOLO FOR MY 18TH BIRTHDAY PLEASE :( COULD SOMEONE GIVE? :(","twitter",1
206,"From a 31-nothing half-time lead the #alamobowl is now tied at 38 in the second overtime.  #lovecollegefootball","twitter",0
207,"@mygtrivias @BTS_twt I'm 27 y/o and 5'1#MGMAVOTE #BTS @BTS_twt","twitter",1
208,"@_Borjaa oh cool wen do u turn 19?","twitter",0
209,"Devon Benn with a big 29 yard rush!","twitter",0
210,"I really lost my mom at 13 😕 mann it’s been a while .","twitter",0
211,"This generation going to put an end to👰🏾💍marriage all y'all do is ""talk""😒smh y'all gonna be 56 yrs old talking about some yeah we talk😂","twitter",0
212,"age 26, sex F, hair blond, eye hazel, cause of death Being to Sexy","twitter",1
213,"My 21st birthday can't come fast enough","twitter",1
214,"@Jamesford66 we're so sorry to hear that, James. you definitely deserve better snooze. we think you'll love the Casper Wave as it's designed to help align your spine and support your body at 27 key points. check it out at https://t.co/HXqttS1xyv","twitter",0
215,"Wishing my (2nd) but best roomie a very happy 20th birthday! I'm so glad we became roomies, thank you… http://t.co/kRto2sxTR9","twitter",0
216,"i hope u make it to the day you're 28 years old http://t.co/ehi0VSTWUY","twitter",0
217,"@05Raavi @HJS_KJ @b_uh70 @HindusGetUnited @usha_omji Why no human rights for 79years old Hindu Saint Asaram Bapu Ji? #HinduSaintsAtTarget","twitter",0
218,"At 71, Trump is the oldest president ever elected to a first term. Facts about 1946, the year Trump's brain was formed: - Frank Sinatra released his debut album - bikinis were invented- people who fought in the Civil War were still alive","twitter",0
219,"I wish I was turning 21 this year 🙄","twitter",0
220,"I turn 22 tomorrow y’all. I expect nudes from all you motherfuckers","twitter",1
221,"Audi a1 sportback for my 25th feb #FebQueen","twitter",1
222,"❣10YO FRONT😾#DECLAWED #SENIOR ABBY❣💔😿IS NOT DOING WELL IN  SHELTER🙏🏽NEEDS PLEDGES💰4 #RESCUE🚔⏩ID 603666 CAT2 674 s://ift.tt/2pLLLlu 🙏#PLEDGE 2 #SaveALife #RescueMe MARIETTA #GA @cobbkitties #CAT#AdoptASeniorCat #AdoptDontShop#PawsNeedClaws https://t.co/TrSMyUib3K","twitter",0
223,"70yo James Woods meticulously &amp; feverishly cropping rainbow dildo img. Attn to detail is just.. WOW! Woods rly knows his way around a dildo! https://t.co/AGtdCKxqyw","twitter",0
224,"@RepSwalwell @HillaryClinton @HouseJudiciary Nothing demonstrates a clear and present danger like a 70 y/o grandma… https://t.co/NxRvQTjhQ6","twitter",0
225,"Today I found a crawfish in a public swimming pool and a 13 y/o asked me what I thought about Mia Khalifa..","twitter",0
226,"@ColbyBrock Lol but you look cute tho, I'm wondering when im gonna look old enough to be served at a bar when I look 12 years old","twitter",0
227,"These 10 movies turning 10 in 2018 will make you feel old https://t.co/I3mXwVwClS","twitter",0
