id,text,source,label,cleaned_text_1,cleaned_text_2
19,"@fayeisaband @cyancais @pulloverrrr @GameBreax @OmegaSparx @SWATS_GBX At 16, most folks are still learning how to play. Charlotte's @abbykonbass is already playing gigs with @hurricanenita and was one of just three bassists in the U.S. selected to attend GRAMMY Camp. Joke's on the band that didn't let her in. #2019MusicIssue https://t.co/9yUCNgPX9p",twitter,0,16 folks still learning play charlotte already playing gigs one three bassists selected attend grammy camp joke band let 2019musicissue https,at 16 most folks are still learning how to play charlotte is already playing gigs with and was one of just three bassists in the selected to attend grammy camp joke on the band that did let her in 2019musicissue https
20,EVERY family I know has been affected by opioid addiction. My 73 y/o mom. @1200CreativeInn @realDonaldTrump,twitter,0,every family know affected opioid addiction 73 mom,every family i know has been affected by opioid addiction my 73 mom
21,"So who’s sending me $10 for my birthday? LIKKKKEEEEEE, it’s only $10. I’m just trynna have a drink or two on Wednesday. C’mon.  #cashapp #PayPal  #applepay your choice b. #birthdaywishes",twitter,0,sending 10 birthday likkkkeeeeee 10 trynna drink two wednesday c mon cashapp paypal applepay choice b birthdaywishes,so who s sending me 10 for my birthday likkkkeeeeee it s only 10 i m just trynna have a drink or two on wednesday c mon cashapp paypal applepay your choice b birthdaywishes
22,"@SilverStarBack @Radiofunker210 I has my kid at 16, dudes like him are the same ones bashing women for having kids… https://t.co/dyxzqmTvBC",twitter,0,kid 16 dudes like ones bashing women https,i has my kid at 16 dudes like him are the same ones bashing women for having https
23,"ive been sexualized since the age of 13. i chose to embrace it, others don’t.    i, nor anyone else, should’ve never been given that choice especially at 13.",twitter,0,ive sexualized since age chose embrace others anyone else never given choice especially 13,ive been sexualized since the age of i chose to embrace it others don t i nor anyone else should ve never been given that choice especially at 13
24,@DukoShannon You are my hero!!!!! I am 18 years old and have an 8 month old daughter!!!!! You and mckayla are so awesome!!!!!! You and mckayla are such an inspiration to me!!!!! I have been watching mckayla since her first video announcing she was pregnant!!!!!! I love you guys so much!!!!,twitter,1,hero 18 years old 8 month old daughter mckayla awesome mckayla inspiration watching mckayla since first video announcing pregnant love guys much,you are my hero i am 18 years old and have an 8 month old daughter you and mckayla are so awesome you and mckayla are such an inspiration to me i have been watching mckayla since her first video announcing she was pregnant i love you guys so much
25,"Heads up @DrouthyCobbler, @CharisEdweeeeee &amp; I are in later to critique your French martinis &amp; celebrate 🎉 30th birthdays",twitter,0,heads amp later critique french martinis amp celebrate 30th birthdays,heads up amp i are in later to critique your french martinis amp celebrate 30th birthdays
26,Hoe gone be 40 years old still saying poopoo 😒,twitter,0,hoe gone 40 years old still saying poopoo,hoe gone be 40 years old still saying poopoo
27,Still scared of Hocus pocus at 20 years old 🙈... #hidingbehindbill,twitter,1,still scared hocus pocus 20 years old hidingbehindbill,still scared of hocus pocus at 20 years old hidingbehindbill
28,Today marks 100 years of #votesforwomen (over the age of 30).To celebrate this historic event we've made a short film on two remarkable #suffragettes (see the snippet below) and curated a range of resources on women's history. Take a look...https://t.co/QcsDwrTVP1#Vote100 https://t.co/AVEvkNTwki,twitter,0,today marks 100 years votesforwomen age 30 celebrate historic event made short film two remarkable suffragettes see snippet curated range resources women history take look https vote100 https,today marks 100 years of votesforwomen over the age of 30 celebrate this historic event we made a short film on two remarkable suffragettes see the snippet below and curated a range of resources on women history take a look https vote100 https
29,Ringing in my 24th with my people❤️ #birthday #celebrate #drinks #favorites @ Jalapeno's Metro Bar &amp;… https://t.co/JC3ASHvSCF,twitter,1,ringing 24th birthday celebrate drinks favorites jalapeno metro bar amp https,ringing in my 24th with my birthday celebrate drinks favorites jalapeno metro bar amp https
30,GoPro Hero 6 Black shoots 4K video at 60 fps and is on sale today: https://t.co/SviaARi6aZ,twitter,0,gopro hero 6 black shoots 4k video 60 fps sale today https,gopro hero 6 black shoots 4k video at 60 fps and is on sale today https
31,my mom spoils the hell out of me still at 19 yrs old lmao she brought me food to work bc i wasn’t feeling good😢💕 mom of the year right there!,twitter,1,mom spoils hell still 19 yrs old lmao brought food work bc feeling mom year right,my mom spoils the hell out of me still at 19 yrs old lmao she brought me food to work bc i wasn t feeling mom of the year right there
32,Is it sad that at 18 I look forward to getting into bed early more than a night out,twitter,1,sad 18 look forward getting bed early night,is it sad that at 18 i look forward to getting into bed early more than a night out
33,I lost my virginity at 19 – Kush Tracy tells fans https://t.co/CkDY9UKGBo,twitter,0,lost virginity 19 kush tracy tells fans https,i lost my virginity at 19 kush tracy tells fans https
34,"Reekado Banks lists his achievements at 22, view at https://t.co/5ThTIvlEAv",twitter,0,reekado banks lists achievements 22 view https,reekado banks lists his achievements at 22 view at https
35,From people over the age of 60.  Rant over,twitter,0,people age rant,from people over the age of rant over
36,"Okay fans, @SinBinSPHL has set the over/under at 57 total PIM tonight. What do you think? #FAYvsKNX @FireAntzHockey",twitter,0,okay fans set 57 total pim tonight think fayvsknx,okay fans has set the at 57 total pim tonight what do you think fayvsknx
37,I WANNA WISH MY BABY GIRL ....WAIT WAIT WAIT MY BIG GIRL A HAPPY 11th BIRTHDAY ......YOU ARE AN… https://t.co/SWgjx2JflF,twitter,0,wan na wish baby girl wait wait wait big girl happy 11th birthday https,i wan na wish my baby girl wait wait wait my big girl a happy 11th birthday you are https
38,"In no rush to turn 20 tbh, in fact I think I'm going to skip my 20's &amp; 30's....40's it is 😏 https://t.co/qmdVj6qGpc",twitter,1,rush turn 20 tbh fact think going skip 20 amp 30 40 https,in no rush to turn 20 tbh in fact i think i going to skip my 20 amp 30 40 it is https
39,"@AbbyJohnson @rosheenamend @Twitter @UnplannedMovie @jack ""Hey. I am 21 yo, I want to have sex with a rude man. I am ready in all holes and will be anobedient girl.💋💑Waiting for you??Register and Write ✍✍https://t.co/haFFgNb29g🍆🍑💦Note: Verify Email to send msg to girls""📲",twitter,0,hey 21 yo want sex rude man ready holes anobedient register write verify email send msg girls,hey i am 21 yo i want to have sex with a rude man i am ready in all holes and will be anobedient for you register and write verify email to send msg to girls
40,What age did y'all think your body started breaking down? How did you react the first time you pulled your back at 26 years of age?,twitter,0,age think body started breaking react first time pulled back 26 years age,what age did think your body started breaking down how did you react the first time you pulled your back at 26 years of age
41,My dad turned 55 today and he legit looks a very good 40. Come through genetics 🙌🏽,twitter,0,dad turned 55 today legit looks good come genetics,my dad turned 55 today and he legit looks a very good come through genetics
42,"This is a 71 y.o. man, and the PRESIDENT OF THE US. Yes, he is calling other adults name and acting like a poorly behaved child. #BasicPOTUS https://t.co/OdCafE119q",twitter,0,71 man president us yes calling adults name acting like poorly behaved child basicpotus https,this is a 71 man and the president of the us yes he is calling other adults name and acting like a poorly behaved child basicpotus https
43,16th birthday todayy!,twitter,1,16th birthday todayy,16th birthday todayy
44,@FBlankenshipWSB Happy new year!!!!  May you continue to be blessed and I was going to tell you on December 24 shout me out for my birthday but I party so hard and didn't realize turning 46 you have to workout before partying. Was to sore to text.,twitter,1,happy new year may continue blessed going tell december 24 shout birthday party hard realize turning 46 workout partying sore text,happy new year may you continue to be blessed and i was going to tell you on december 24 shout me out for my birthday but i party so hard and did realize turning 46 you have to workout before partying was to sore to text
45,Like I turn 20 in July but I'm only gonna be 20 idk if that's weird or wut 😅,twitter,1,like turn 20 july gon na 20 idk weird wut,like i turn 20 in july but i only gon na be 20 idk if that weird or wut
46,Who knew I would spend my Saturday mornings at 21 still watching Disney channel.,twitter,1,knew would spend saturday mornings 21 still watching disney channel,who knew i would spend my saturday mornings at 21 still watching disney channel
47,I'm 19 years old and I spend my weekends as if I was 32,twitter,1,19 years old spend weekends 32,i 19 years old and i spend my weekends as if i was 32
48,"John Glenn, former astronaut and U.S. Senator, has died at the age of 95.  He was the first American to orbit the earth. I remember...",twitter,0,john glenn former astronaut senator died age first american orbit earth remember,john glenn former astronaut and senator has died at the age of he was the first american to orbit the earth i remember
49,"My girl, Fancy, just turned 17. She’s getting up there, but she still has the energy of a puppy https://t.co/MYZ7H6PwWk",twitter,0,girl fancy turned getting still energy puppy https,my girl fancy just turned she s getting up there but she still has the energy of a puppy https
50,15 days til my 21st.. 20 days til I go on vacation.. &amp; I still look like a damn potato..,twitter,1,15 days til 21st 20 days til go vacation amp still look like damn potato,15 days til my 21st 20 days til i go on vacation amp i still look like a damn potato
51,@JasonWitten HAPPY BIRTHDAY!!!! #82 FOREVER!!! 💙💙💙💙💙💙🎉🎊🎂🍾,twitter,0,happy birthday 82 forever,happy birthday 82 forever
52,My 25th bday gift to myself will be titties. Maybe a new nose too.,twitter,1,25th bday gift titties maybe new nose,my 25th bday gift to myself will be titties maybe a new nose too
53,"Karla, from Flushing visits the office of @RepGraceMeng and stresses for a change in the age of entry requirement from 16 years old to 18 years old — “At 16 we are considered a minor and should still be protected” #DreamActNow #DreamAct https://t.co/N6eGhyzGGO",twitter,0,karla flushing visits office stresses change age entry requirement 16 years old 18 years old 16 considered minor still protected dreamactnow dreamact https,karla from flushing visits the office of and stresses for a change in the age of entry requirement from 16 years old to 18 years old at 16 we are considered a minor and should still be protected dreamactnow dreamact https
54,"@rgbassin Kootenai.His name is Kostata age 68. He's the son of Chief Eneas, grandson of Chief Bapsiste, who signed the treaty of Hell Gate, 1855, btwn U.S. and the Allied Tribes of the Flashead Reservation.",twitter,0,name kostata age son chief eneas grandson chief bapsiste signed treaty hell gate 1855 btwn allied tribes flashead reservation,name is kostata age he the son of chief eneas grandson of chief bapsiste who signed the treaty of hell gate 1855 btwn and the allied tribes of the flashead reservation
55,"If you need a suggestion for what to buy me as a 50th b-day present (4/22/19...save up), buy me this Les Paul...and guitar lessons...and @peterframpton tickets...",twitter,1,need suggestion buy 50th present save buy les paul guitar lessons tickets,if you need a suggestion for what to buy me as a 50th present save up buy me this les paul and guitar lessons and tickets
56,"Wishing our #CaptainCool @msdhoni a very happy 35th birthday! Have fun, skipper! #HappyBirthdayCaptainCool https://t.co/5wJhi9eapw",twitter,0,wishing captaincool happy 35th birthday fun skipper happybirthdaycaptaincool https,wishing our captaincool a very happy 35th birthday have fun skipper happybirthdaycaptaincool https
57,She just turned 18 today. Chat with her.   https://t.co/Fvvl6kAHvl #hugetits #legs #pornvideos #bigboob https://t.co/ckyIIEDPoE,twitter,0,turned 18 today chat https hugetits legs pornvideos bigboob https,she just turned 18 today chat with her https hugetits legs pornvideos bigboob https
58,I'm proud this facial hair trying to grow in before my 25th. I'll finally be a snack,twitter,1,proud facial hair trying grow 25th finally snack,i proud this facial hair trying to grow in before my 25th i finally be a snack
59,@tonyhawk @DonovanStrain @berrics @rileyhawk666 Its so fun to watch...51 years old man still learning tricks and dont give up. 😅😅,twitter,0,fun watch 51 years old man still learning tricks dont give,its so fun to watch 51 years old man still learning tricks and dont give up
60,This man is aging backwards who will say that he turned 53 todayBeing Human Day#HappyBirthdaySalmanKhan https://t.co/cBMjbI9e9L,twitter,0,man aging backwards say turned 53 todaybeing human day happybirthdaysalmankhan https,this man is aging backwards who will say that he turned 53 todaybeing human day happybirthdaysalmankhan https
61,Double the birthday. Double the BFF. Double the memories. Double the love. Happy birthday!!!! #20 #ILoveYou 👸🏾👸🏼💞 https://t.co/BZ7W6aj03F,twitter,0,double birthday double bff double memories double love happy birthday 20 iloveyou https,double the birthday double the bff double the memories double the love happy birthday 20 iloveyou https
62,CCI Spring Fling!! Dance the night away with access to our gorgeous courtyard filled with lights. Tickets will go on sale for $10 next week. https://t.co/tSSqGgqhxD,twitter,0,cci spring fling dance night away access gorgeous courtyard filled lights tickets go sale 10 next week https,cci spring fling dance the night away with access to our gorgeous courtyard filled with lights tickets will go on sale for 10 next week https
63,Sooooo.. what do people do on their 19th birthday anyway?,twitter,1,sooooo people 19th birthday anyway,sooooo what do people do on their 19th birthday anyway
64,"Why is my bias acting like this? He turned 30 &amp; he thinks he's having a mid life crisis?  I love him but Damn, calm down son. #JayPark",twitter,0,bias acting like turned 30 amp thinks mid life crisis love damn calm son jaypark,why is my bias acting like this he turned 30 amp he thinks he having a mid life crisis i love him but damn calm down son jaypark
65,"I may be 30 years old &amp; have tattoos, but I will still absolutely cry when I get my blood taken because of my intense fear of needles.",twitter,1,may 30 years old amp tattoos still absolutely cry get blood taken intense fear needles,i may be 30 years old amp have tattoos but i will still absolutely cry when i get my blood taken because of my intense fear of needles
66,My 21st birthday is in 26 days ! 🎉🎉💘,twitter,1,21st birthday 26 days,my 21st birthday is in 26 days
67,Declares himself to be a 'stable genius' even though his IQ was measured at 73#SignsSomeoneIsPsycho,twitter,0,declares genius even though iq measured 73 signssomeoneispsycho,declares himself to be a genius even though his iq was measured at 73 signssomeoneispsycho
68,I had a nightmare last night that I got married at 19,twitter,0,nightmare last night got married 19,i had a nightmare last night that i got married at 19
69,I turn 21 tomorrow??? Weird👀🤗,twitter,1,turn 21 tomorrow,i turn 21 tomorrow
70,@asscheeksonme Right 😭 as soon as we turned 21 they wanna get rid of the shit,twitter,1,right soon turned 21 wan na get rid shit,right as soon as we turned 21 they wan na get rid of the shit
71,Birthday #24 #litty,twitter,1,birthday 24 litty,birthday 24 litty
72,i turned 21 &amp; look at the liquor menu before the food menu everywhere i go.,twitter,1,turned 21 amp look liquor menu food menu everywhere go,i turned 21 amp look at the liquor menu before the food menu everywhere i go
73,@stinacute that was my plan. My 21st is next week and I'm pregnant 🙃 #PracticeSafeSex lmao,twitter,1,plan 21st next week pregnant practicesafesex lmao,that was my plan my 21st is next week and i pregnant practicesafesex lmao
74,15 years ago today:2003 ~ The Atlanta #Falcons upset the Green Bay Packers in a NFC Wild Card game. It was the first time the Packers lost a playoff game at home. Vick was only 22 years old! https://t.co/xJEvxNWvx9,twitter,0,15 years ago atlanta falcons upset green bay packers nfc wild card game first time packers lost playoff game home vick 22 years old https,15 years ago the atlanta falcons upset the green bay packers in a nfc wild card game it was the first time the packers lost a playoff game at home vick was only 22 years old https
75,@teensy_teacup @moodring89 My 10th picture and I will die from him alone https://t.co/VM1w9CKkut,twitter,0,10th picture die alone https,my 10th picture and i will die from him alone https
76,"Family means something so different at 21, different to what I always remember growing up anyway.",twitter,1,family means something different 21 different always remember growing anyway,family means something so different at 21 different to what i always remember growing up anyway
77,@cheribaker Yes!! I work in a flower shop. Tulip season is my favorite season! I’ve never in my 12 years there have seen tulips that nice!,twitter,0,yes work flower shop tulip season favorite season never 12 years seen tulips nice,yes i work in a flower shop tulip season is my favorite season i ve never in my 12 years there have seen tulips that nice
78,"@IIPaulEdwinII Text this cutie, shes 23 years old her # is 512-270-3884 shes funny lol",twitter,0,text cutie shes 23 years old shes funny lol,text this cutie shes 23 years old her is shes funny lol
79,"It's been 15 years since I, as a vulnerable 16 year old girl, was preyed upon and abused by a gang of older men who have never faced justice. I dare @BorisJohnson to look me in the eye and say rectifying that would be ""spaffing money up the wall"" #BorisJohnson #VileTories",twitter,1,15 years since vulnerable 16 year old girl preyed upon abused gang older men never faced justice dare look eye say rectifying would spaffing money wall borisjohnson viletories,it been 15 years since i as a vulnerable 16 year old girl was preyed upon and abused by a gang of older men who have never faced justice i dare to look me in the eye and say rectifying that would be spaffing money up the wall borisjohnson viletories
80,"30th birthday approaching, weighing up the competition between my favourite Indian in Petts Wood and @TGIFridaysUK hmm decisions decisions",twitter,1,30th birthday approaching weighing competition favourite indian petts wood hmm decisions decisions,30th birthday approaching weighing up the competition between my favourite indian in petts wood and hmm decisions decisions
81,Happy 21st Birthday to me 😘🎊🎉,twitter,1,happy 21st birthday,happy 21st birthday to me
82,You Grown Af 25 Years Old ! Tripping Over Some Petty Teenage Bullshit ! I'm Just Not Fit For Relationships 😒,twitter,0,grown af 25 years old tripping petty teenage bullshit fit relationships,you grown af 25 years old tripping over some petty teenage bullshit i just not fit for relationships
83,"The anger I will display on this website if the Red Sox, with their $800 bajillion valuation, allow a homegrown mega-superstar to walk at age 28 (or trade him at 27), will be the likes of which few have ever seen.",twitter,0,anger display website red sox 800 bajillion valuation allow homegrown walk age 28 trade 27 likes ever seen,the anger i will display on this website if the red sox with their 800 bajillion valuation allow a homegrown to walk at age 28 or trade him at 27 will be the likes of which few have ever seen
84,We stan a birthday playlist 👑 (and yes I’m turning 22 today but no way in hell will you catch me listening to TS) https://t.co/5q7s9uWbKz,twitter,1,stan birthday playlist yes turning 22 today way hell catch listening ts https,we stan a birthday playlist and yes i m turning 22 today but no way in hell will you catch me listening to ts https
85,I been thinking about my 21st for so long,twitter,1,thinking 21st long,i been thinking about my 21st for so long
86,I’m trying go to Panama for my 20th 😬,twitter,1,trying go panama 20th,i m trying go to panama for my 20th
87,Mfs gonna think I’m turning 21 this year 💀,twitter,0,mfs gon na think turning 21 year,mfs gon na think i m turning 21 this year
88,@markiplier_mSb You're 20 years old?,twitter,0,20 years old,you 20 years old
89,"@PrairiePhlox @angiecthomas Easily one of my top picks for a must read for anyone 12YO and up. While content is strong and emotional, it’s a raw and necessary look into police brutality against PoC and the aftermath survivors must deal with.",twitter,0,easily one top picks must read anyone 12yo content strong emotional raw necessary look police brutality poc aftermath survivors must deal,easily one of my top picks for a must read for anyone 12yo and up while content is strong and emotional it s a raw and necessary look into police brutality against poc and the aftermath survivors must deal with
90,Im turning 21 in 2 days &amp; im tryna keep myself busy but wow im excitedddd,twitter,1,im turning 21 2 days amp im tryna keep busy wow im excitedddd,im turning 21 in 2 days amp im tryna keep myself busy but wow im excitedddd
91,Beauty ends at 25 years of age. After that we look at the character and what you bring to the table.,twitter,0,beauty ends 25 years age look character bring table,beauty ends at 25 years of age after that we look at the character and what you bring to the table
92,ITS MY 21st BIRTHDAY‼️‼️‼️‼️,twitter,1,21st,its my 21st
93,"@JoeLedleysBeard Good move for Ash at 31. Allen to Stoke, however, is a scandal.",twitter,0,good move ash allen stoke however scandal,good move for ash at allen to stoke however is a scandal
94,"A group of old friends discussed where they should meet for lunch for their reunion. : They were all aged about 40.Finally it was agreed that they would meet at the Ocean View restaurant, because the waitresses there were pretty.Ten years later, at age 50, the friends once a…",twitter,0,group old friends discussed meet lunch reunion aged agreed would meet ocean view restaurant waitresses years later age 50 friends,a group of old friends discussed where they should meet for lunch for their reunion they were all aged about it was agreed that they would meet at the ocean view restaurant because the waitresses there were years later at age 50 the friends once
95,"@noellehancock Enjoyed your story about moving to St. John. Hit home — am 31 yrs old, single, journalist with wanderlust",twitter,1,enjoyed story moving john hit home 31 yrs old single journalist wanderlust,enjoyed your story about moving to john hit home am 31 yrs old single journalist with wanderlust
96,@pIayerscIub Boy Eminem is fucking 80 years old let’s talk about that,twitter,0,boy eminem fucking 80 years old let talk,boy eminem is fucking 80 years old let s talk about that
97,Okay so Stan isn't going to Disney with me instead me and Jessica are going next month for my 20th!!!!:D,twitter,1,okay stan going disney instead jessica going next month 20th,okay so stan is going to disney with me instead me and jessica are going next month for my 20th d
98,At that age where I can date you or your father but I ain’t trying to be no step-grandma at 33 😒,twitter,1,age date father trying 33,at that age where i can date you or your father but i ain t trying to be no at 33
99,Celebrating my 21st birthday at @ArizonaPetes this Friday and EVERYONE is invited. 😝🍺,twitter,1,celebrating 21st birthday friday everyone invited,celebrating my 21st birthday at this friday and everyone is invited
100,The average person who becomes less active and consequently loses #muscle experiences a 20 to 25 percent reduction in 24-hour #metabolism by age 65. This adds up to a daily metabolic drop of more than 500 #calories.,twitter,0,average person becomes less active consequently loses muscle experiences 20 25 percent reduction metabolism age adds daily metabolic drop 500 calories,the average person who becomes less active and consequently loses muscle experiences a 20 to 25 percent reduction in metabolism by age this adds up to a daily metabolic drop of more than 500 calories
101,Too much #HeroesCon blowing up my twitter feed... sooooo jealous... cant handle it all... so unfair. God dammit @Reading_Hix why cant you turn 50 every year... #youhavefailedthiscon,twitter,0,much heroescon blowing twitter feed sooooo jealous cant handle unfair god dammit cant turn 50 every year youhavefailedthiscon,too much heroescon blowing up my twitter feed sooooo jealous cant handle it all so unfair god dammit why cant you turn 50 every year youhavefailedthiscon
102,"I'm torn. On 1 hand, she's probably a 35y/o guy named Yuri. On the other, it's hard to find someone who lives close. https://t.co/9tSitVlsPD",twitter,0,torn 1 hand probably guy named yuri hard find someone lives close https,i torn on 1 hand she probably a guy named yuri on the other it hard to find someone who lives close https
103,Battlefield 1 looks so good. I just hope my 970 can run it at 60 fps on ultra.,twitter,0,battlefield 1 looks good hope 970 run 60 fps ultra,battlefield 1 looks so good i just hope my 970 can run it at 60 fps on ultra
104,My birthday is tomorrow which is crazy I’ll be 21,twitter,1,birthday tomorrow crazy 21,my birthday is tomorrow which is crazy i ll be 21
105,@RylanClark Happy 24th Birthday Rylan!! &lt;3,twitter,0,happy 24th birthday rylan lt 3,happy 24th birthday rylan lt 3
106,my 17th birthday needs to hurry up so my mom has no excuse to keep me home all the time,twitter,1,17th birthday needs hurry mom excuse keep home time,my 17th birthday needs to hurry up so my mom has no excuse to keep me home all the time
107,The perils of turning 26: when US millennials lose their parents' healthcare cover https://t.co/nnOtLj5BaI,twitter,0,perils turning 26 us millennials lose parents healthcare cover https,the perils of turning 26 when us millennials lose their parents healthcare cover https
108,2 days until I get my braces off &amp; 9 until I turn 18. I am so excited 😭🙌,twitter,1,2 days get braces amp 9 turn excited,2 days until i get my braces off amp 9 until i turn i am so excited
109,Immys friend's mum was shocked when I told her I stated ttc at 26. I'm now 35.,twitter,1,immys friend mum shocked told stated ttc 35,immys friend mum was shocked when i told her i stated ttc at i now 35
110,i want to look as good as cher at 71,twitter,0,want look good cher 71,i want to look as good as cher at 71
111,happy 21st birthday lil’ sis. drink lots of water. @haileesteinfeld https://t.co/xPhqvloraD,twitter,0,happy 21st birthday lil sis drink lots water https,happy 21st birthday lil sis drink lots of water https
112,private aligned r by 119 I dont feel that you dont look like I feel that.76 at 67.,twitter,0,private aligned r 119 dont feel dont look like feel 67,private aligned r by 119 i dont feel that you dont look like i feel at 67
113,"I'm so shook knowing that my grandma got married at 16. I'm 16 and I can't even keep my room clean, let alone find someone to tolerate me.",twitter,1,shook knowing grandma got married 16 ca even keep room clean let alone find someone tolerate,i so shook knowing that my grandma got married at i 16 and i ca even keep my room clean let alone find someone to tolerate me
114,me when I have my 21st birthday and I make a toast https://t.co/BTrgvRvX46,twitter,1,21st birthday make toast https,me when i have my 21st birthday and i make a toast https
115,"Next friday... I will be doing a Ustream with my brother, @FrankieJGrande as we countdown to my 17th birthday.. Please join us!! :) WOOO",twitter,1,next friday ustream brother countdown 17th birthday please join us wooo,next friday i will be doing a ustream with my brother as we countdown to my 17th birthday please join us wooo
116,I got a feeling imma get thick as hell  when I turn 23,twitter,1,got feeling imma get thick hell turn 23,i got a feeling imma get thick as hell when i turn 23
117,"Thank you for being my partner, my best friend, my foodtrip buddy, movie buddy, the father of my son, my life, my lakay. Happy 25th birthday love! Alison Caluza Flores Jr. 🎂🎈🎉",twitter,0,thank partner best friend foodtrip buddy movie buddy father son life lakay happy 25th birthday love alison caluza flores,thank you for being my partner my best friend my foodtrip buddy movie buddy the father of my son my life my lakay happy 25th birthday love alison caluza flores
118,"@jorymicah If you are my 13yo emo daughter, they are definitely back.",twitter,0,13yo emo daughter definitely back,if you are my 13yo emo daughter they are definitely back
119,"I've been in a hurry all my life, I only decided to slow down after I turned 28. Lol",twitter,0,hurry life decided slow turned lol,i been in a hurry all my life i only decided to slow down after i turned lol
120,#LIKE &amp; #RETWEET = SEASON 2 ACCOUNT GIVEAWAY  🖤Must Follow @FortniteDGs  &amp; @qtBazzyEnds at 55 retweets 🌙,twitter,0,like amp retweet season 2 account giveaway follow amp 55 retweets,like amp retweet season 2 account giveaway follow amp at 55 retweets
121,"Beyoncé will turn 35 on September 4, 2016 and thus is eligible to be our next president",twitter,0,turn 35 september 4 2016 thus eligible next president,will turn 35 on september 4 2016 and thus is eligible to be our next president
122,I’m almost 30 years old. I don’t have the time nor the energy to entertain your bad life choices. I barely have time to entertain my own okay so bye.,twitter,1,almost 30 years old time energy entertain bad life choices barely time entertain okay bye,i m almost 30 years old i don t have the time nor the energy to entertain your bad life choices i barely have time to entertain my own okay so bye
